#objectID mag0 amp ra dec
1277824 14.96 0.16 206.215959 7.441276
588899 14.96 0.35 229.889366 2.085362
558827 14.97 0.19 217.610863 -0.413086
634849 14.98 0.36 227.708298 -1.439235
557520 14.98 0.29 206.059402 -0.668544
692750 14.98 0.26 257.492434 22.634881
873677 14.99 0.24 150.759593 15.554251
589076 15.00 0.22 188.490926 3.330456
560750 15.00 0.40 195.370053 0.526385
706721 15.00 0.10 152.540462 8.842073
852504 15.00 0.40 231.135512 17.959946
655747 15.00 0.31 126.451806 39.096237
838232 15.01 0.43 200.140493 22.448384
882214 15.01 0.39 214.591363 -21.195523
789094 15.01 0.37 249.230147 17.598692
852221 15.01 0.33 231.105222 17.082742
636868 15.01 0.36 224.324129 -2.654210
1285416 15.02 0.34 135.540627 28.620573
823243 15.02 0.42 201.283330 26.164224
849486 15.03 0.33 241.652192 11.090444
792398 15.03 0.33 208.266656 29.898288
1275683 15.03 0.37 241.925927 6.732650
1245446 15.04 0.30 181.488147 62.880974
840873 15.04 0.45 138.903291 15.715165
1283070 15.04 0.38 186.798434 43.199938
745075 15.04 0.33 245.255137 26.939119
563350 15.04 0.41 173.523159 -2.346095
828907 15.04 0.30 165.657428 23.237588
621374 15.04 0.24 152.846161 -1.445503
848887 15.04 0.40 248.393478 8.813027
741846 15.05 0.43 196.221890 15.660710
1283354 15.05 0.38 206.020231 41.646143
732758 15.05 0.23 205.731063 6.810758
691088 15.05 0.34 169.462684 7.617844
878585 15.05 0.30 190.064644 -8.615669
603325 15.06 0.25 177.707662 65.300823
839909 15.06 0.35 230.559445 15.481255
848471 15.07 0.47 208.909762 17.881287
634794 15.07 0.36 223.007733 -1.703993
691095 15.07 0.36 170.678348 7.576974
689446 15.07 0.36 230.024098 44.982725
628895 15.07 0.37 235.403619 2.184322
1271776 15.07 0.29 158.419919 40.951593
729907 15.07 0.10 229.219486 36.903076
859919 15.07 0.31 245.353986 57.862012
825839 15.07 0.35 172.288801 27.743820
880471 15.08 0.19 216.140713 -22.089484
628307 15.08 0.24 229.294742 1.108939
571468 15.09 0.36 151.153162 -2.393320
807604 15.09 0.12 262.642597 33.101010
744510 15.10 0.33 246.240059 7.965638
591445 15.10 0.40 235.126232 2.509933
861061 15.10 0.24 190.930880 16.954165
589113 15.10 0.30 194.474340 3.283094
588445 15.11 0.42 211.645628 3.777355
789830 15.11 0.47 215.129508 28.523782
784920 15.11 0.33 240.724144 21.839978
631373 15.11 0.33 251.057886 37.178256
861195 15.11 0.46 201.386544 16.828899
635305 15.11 0.29 246.618123 43.635900
703789 15.12 0.32 265.723698 52.405129
587668 15.12 0.37 197.541325 2.897253
801200 15.12 0.42 241.129663 13.899068
724913 15.12 0.22 246.789766 35.938425
1282346 15.12 0.41 185.673600 42.412129
879220 15.12 0.40 243.298789 19.112780
732550 15.13 0.13 212.914477 5.593573
560757 15.13 0.37 199.372969 0.552578
1241813 15.15 0.29 171.706462 4.085573
567757 15.15 0.34 155.709397 -3.240404
880721 15.16 0.41 153.557375 15.350183
622830 15.16 0.33 239.502719 53.876015
1271588 15.16 0.44 221.851371 39.854838
617897 15.16 0.36 142.270726 52.297854
616141 15.17 0.28 171.391595 63.215459
848496 15.18 0.27 213.346700 17.228902
791182 15.18 0.43 232.323831 25.942389
846214 15.18 0.34 239.581106 13.503515
558955 15.18 0.35 240.436035 -0.334304
787670 15.19 0.23 232.621224 25.475822
559634 15.20 0.41 211.643003 0.484479
857353 15.20 0.38 211.111301 16.801779
576362 15.20 0.40 256.988981 63.288693
860744 15.21 0.44 162.893857 16.929361
726358 15.21 0.35 203.183121 49.612971
560597 15.22 0.40 239.025670 0.056938
610864 15.22 0.33 164.729224 1.505536
779730 15.22 0.80 140.162054 27.533266
943386 15.22 0.22 216.330198 -20.751896
662363 15.22 0.34 123.443312 38.050681
558926 15.22 0.33 236.631509 -0.266330
1294664 15.22 0.34 135.028190 18.607934
1265105 15.23 0.39 158.595039 42.123808
659752 15.23 0.28 127.967529 38.537233
576222 15.23 0.39 255.307087 63.819624
1275684 15.23 0.42 241.960928 6.777761
724956 15.23 0.39 248.320781 34.510432
587570 15.23 0.40 179.027599 3.025216
708289 15.24 0.36 139.194471 8.041069
791943 15.24 0.31 221.667257 27.443754
589290 15.24 0.41 216.691205 2.824121
871828 15.25 0.39 192.257555 -8.346891
682534 15.25 0.35 183.139027 9.734663
1242256 15.25 0.32 175.957917 4.552506
1291963 15.25 0.33 255.489160 20.100237
609169 15.25 0.41 137.549046 3.983188
1278971 15.26 0.25 195.075314 12.617184
834711 15.26 0.13 159.428738 19.544886
624698 15.26 0.25 206.300367 3.714126
559262 15.26 0.26 217.555026 0.151160
847700 15.26 0.32 147.371268 16.025053
1284040 15.26 0.17 191.655756 10.164185
630144 15.27 0.32 255.132796 35.289587
839294 15.27 0.33 169.381153 21.026113
776256 15.27 0.34 128.223275 22.574568
787685 15.28 0.26 236.927422 23.423045
817686 15.28 0.43 162.079002 26.823097
732532 15.28 0.41 209.853074 5.836339
835984 15.29 0.39 234.361676 14.949494
1307996 15.29 0.39 193.185837 -0.420235
572844 15.30 0.29 259.368004 61.153949
587061 15.30 0.36 214.914830 2.213038
746533 15.30 0.32 211.528473 14.325497
1278653 15.30 0.47 188.477224 8.277183
1248727 15.31 0.38 175.499121 3.991697
724161 15.31 0.44 137.931881 32.041262
693669 15.32 0.28 241.351836 39.084206
883343 15.32 0.27 216.140199 -18.858391
748787 15.32 0.45 121.947917 52.004817
618812 15.32 0.43 158.180537 1.042020
1299187 15.32 0.26 189.326340 20.360509
645982 15.32 0.36 266.154537 61.818345
795932 15.32 0.39 246.889779 13.747780
629822 15.33 0.34 252.065830 38.573077
842648 15.33 0.38 164.921741 21.711611
1270881 15.33 0.41 220.180619 39.613047
560814 15.33 0.40 214.100771 0.534018
1292837 15.33 0.39 249.026440 30.713318
1287334 15.34 0.41 244.854752 5.323230
850749 15.34 0.37 231.090430 11.734319
1268371 15.34 0.35 217.833456 42.240376
693478 15.34 0.45 211.633450 52.603096
1283359 15.35 0.35 208.239105 41.299028
1309578 15.36 0.12 211.299563 0.731326
731438 15.36 0.43 240.839792 6.806741
586316 15.37 0.34 248.806751 47.205006
879661 15.37 0.31 192.086487 -10.427504
1235609 15.37 0.39 124.601965 45.734328
799598 15.38 0.27 231.125785 20.241486
787501 15.38 0.44 179.475655 35.024812
1295441 15.38 0.41 244.089690 32.872679
880302 15.38 0.29 214.480619 -15.608433
603829 15.39 0.33 157.534706 3.602289
584029 15.39 0.39 263.911288 59.175499
790542 15.39 0.43 209.570508 31.039345
611305 15.39 0.43 153.907145 2.394771
627028 15.40 0.34 258.415649 35.547437
1273961 15.40 0.35 158.524584 10.762605
795751 15.40 0.20 222.312563 22.468178
585648 15.40 0.21 185.441193 2.828471
689088 15.41 0.19 245.991143 33.782928
635133 15.41 0.41 258.411876 29.334788
849689 15.42 0.33 238.092875 12.343246
1283936 15.42 0.41 239.871112 5.660223
784577 15.42 0.30 228.271255 26.832048
860472 15.42 0.34 168.479225 16.244686
1277229 15.42 0.39 188.077882 7.252175
879294 15.42 0.39 153.599178 79.327900
742668 15.42 0.38 218.044534 13.251602
1236682 15.42 0.33 211.433698 62.452275
821519 15.43 0.26 183.268194 30.277128
777878 15.43 0.41 141.892452 29.447527
558368 15.43 0.31 245.717330 -0.265070
847183 15.44 0.46 203.771197 19.838523
786668 15.44 0.32 199.312148 33.920968
1290097 15.44 0.32 203.936089 9.046587
874463 15.44 0.36 168.612449 -15.078803
1277323 15.45 0.28 206.223582 6.741248
1251613 15.46 0.31 230.892369 52.531098
750181 15.46 0.32 240.374998 29.922941
627062 15.47 0.39 260.139079 32.854810
1244021 15.47 0.43 133.436876 49.311146
947157 15.47 0.25 173.245841 -5.218438
852592 15.47 0.35 241.416408 14.676060
1262031 15.47 0.29 127.906687 36.105385
777788 15.47 0.22 126.865046 22.155028
1270410 15.48 0.34 196.553972 12.443865
856165 15.48 0.32 245.126565 8.664949
745748 15.48 0.47 219.691736 12.335286
1246288 15.48 0.37 190.304062 6.006278
571659 15.48 0.32 156.101137 -2.075147
1277746 15.48 0.34 196.690415 7.928582
735628 15.48 0.38 223.549761 6.223328
737657 15.48 0.35 238.789682 35.039498
807458 15.49 0.31 253.599237 48.394235
1300077 15.49 0.30 169.436084 47.753122
795222 15.49 0.16 221.983353 21.606322
1271054 15.49 0.32 163.578228 43.677174
621694 15.49 0.40 219.656332 4.489676
661048 15.49 0.28 137.043031 43.103739
628959 15.49 0.38 246.612384 41.208631
698447 15.50 0.36 227.470396 52.894168
1272872 15.50 0.33 223.354696 38.689120
735838 15.50 0.39 223.537159 6.714302
674356 15.50 0.44 141.987068 41.230471
1267404 15.51 0.43 196.512445 46.111960
569494 15.51 0.38 139.749173 56.590879
841687 15.51 0.40 242.105080 12.318981
589042 15.51 0.46 182.100871 3.307930
1291385 15.51 0.14 253.212158 21.650113
822643 15.51 0.33 180.513812 26.340577
1307792 15.52 0.20 158.292466 -0.472534
732775 15.52 0.24 208.532251 6.762656
696888 15.52 0.42 246.613642 35.278804
947079 15.52 0.37 214.436491 -16.504549
748284 15.52 0.14 228.094372 28.553846
638040 15.53 0.39 227.885459 6.400761
1298811 15.53 0.35 169.260138 18.717014
611930 15.53 0.50 124.235638 44.579465
1235256 15.53 0.37 225.965691 57.221856
849895 15.53 0.18 249.233872 9.038294
783033 15.53 0.31 130.481686 22.011298
1269686 15.53 0.38 170.358612 12.579956
802549 15.53 0.38 217.878546 22.839818
751069 15.53 0.25 250.604510 18.286719
794668 15.53 0.20 239.214975 20.447290
852558 15.54 0.32 237.578788 15.863280
854554 15.54 0.44 194.510659 19.900359
694450 15.54 0.41 254.089218 30.682295
766769 15.54 0.37 182.680948 15.249330
746729 15.55 0.39 237.824654 9.907983
1282607 15.55 0.23 167.847781 41.537584
1289370 15.55 0.33 233.100058 41.475245
947266 15.55 0.47 182.001608 -1.209480
692302 15.55 0.35 142.000781 6.633154
698532 15.55 0.44 247.844302 39.636501
692415 15.55 0.27 248.134634 32.286805
877852 15.55 0.38 134.428430 11.595566
880653 15.56 0.28 143.731809 13.633091
1282385 15.56 0.36 191.536160 42.181607
633883 15.56 0.42 207.844155 -2.774065
946642 15.56 0.39 211.788840 -14.197702
831593 15.56 0.29 194.781090 26.597290
624991 15.56 0.33 202.974355 4.291525
803627 15.56 0.34 249.958778 49.902545
1270923 15.57 0.44 227.840991 36.701002
630670 15.57 0.48 260.281231 28.953698
782048 15.57 0.43 185.571805 33.961945
1241005 15.57 0.29 225.052152 59.576996
857871 15.57 0.46 263.199656 32.417411
604723 15.58 0.37 165.264573 4.472667
589679 15.58 0.38 172.311533 1.259300
735916 15.58 0.23 233.787444 5.703313
582007 15.58 0.31 237.184461 56.272845
565425 15.59 0.40 199.176852 -3.341861
586746 15.59 0.33 172.693135 2.617494
847909 15.59 0.30 196.717381 25.117436
875241 15.60 0.30 164.822646 -18.869878
605139 15.60 0.40 128.274682 47.225937
850321 15.60 0.21 208.099671 16.114385
746494 15.60 0.28 247.011194 7.522903
1278060 15.61 0.36 211.231035 7.628194
1252072 15.61 0.39 245.214151 44.807159
759879 15.61 0.16 147.477239 68.660693
821997 15.61 0.39 173.604251 30.201559
724083 15.62 0.35 147.472704 35.633076
774817 15.62 0.36 128.514082 25.722044
1306745 15.63 0.38 190.865762 -0.926949
571499 15.63 0.40 155.269794 -2.531553
623477 15.64 0.43 251.310771 42.561340
1305713 15.64 0.24 189.667150 0.319802
1241046 15.64 0.49 237.776610 53.465274
1252050 15.64 0.36 242.854723 46.675450
1282330 15.64 0.43 180.390494 42.347133
568282 15.65 0.43 160.119044 -1.763162
644042 15.66 0.43 221.754875 6.173359
590193 15.66 0.46 150.228897 1.394728
728601 15.67 0.40 218.579653 53.321256
645539 15.67 0.33 261.452390 67.627048
707221 15.67 0.32 182.170248 9.529199
823250 15.68 0.30 157.153630 24.749088
792373 15.68 0.32 201.607990 30.885334
561312 15.68 0.23 202.621274 0.988383
590376 15.68 0.34 176.834089 1.823943
795342 15.68 0.24 214.436297 23.776744
856303 15.69 0.42 217.210168 14.988340
586645 15.69 0.34 158.298827 2.234034
1279044 15.69 0.35 202.884537 12.187438
803961 15.69 0.44 244.288786 55.751562
842508 15.69 0.35 142.562787 17.469323
635376 15.70 0.45 252.460221 37.727204
592450 15.70 0.28 234.447376 3.683670
690113 15.71 0.40 151.667858 6.084365
947128 15.71 0.33 173.812638 -5.544868
624702 15.72 0.46 206.550587 3.610891
1290197 15.72 0.43 215.833219 8.091121
740929 15.72 0.33 239.272451 33.816215
631489 15.72 0.41 254.721366 32.834096
671971 15.72 0.56 166.852847 51.013641
822684 15.72 0.38 189.422690 26.270916
797490 15.72 0.31 214.035536 26.497924
846121 15.73 0.40 233.073743 15.496860
1248056 15.73 0.22 139.857750 -1.631253
811274 15.73 0.37 129.278361 18.932307
1244298 15.73 0.31 139.374069 53.072795
702506 15.73 0.36 143.262183 8.137270
1287611 15.73 0.21 222.930798 8.600884
693024 15.74 0.49 246.942796 34.102986
737029 15.74 0.20 254.192455 23.832774
829006 15.74 0.39 153.163628 21.898234
652239 15.74 0.13 146.412314 47.214791
855072 15.74 0.18 177.942033 20.700864
848903 15.75 0.34 200.136378 19.156209
1308053 15.75 0.32 199.527622 -0.550070
877939 15.75 0.41 190.654192 -17.604062
735936 15.75 0.35 236.813811 5.358028
873737 15.76 0.35 173.434346 -5.102598
858756 15.76 0.33 172.060425 15.913183
773499 15.77 0.40 171.933324 36.328339
1290564 15.77 0.42 241.923339 5.054522
833828 15.77 0.41 140.997780 18.158326
692312 15.77 0.36 143.478521 6.840051
781903 15.77 0.29 168.449023 33.863516
792153 15.78 0.33 181.442815 31.475783
745239 15.78 0.38 222.977818 10.981920
1308223 15.78 0.37 215.986407 -0.574572
621849 15.78 0.41 236.379984 3.469078
747835 15.78 0.32 251.277037 22.641009
625556 15.79 0.32 219.321256 4.124844
787637 15.79 0.37 223.821340 28.793238
708253 15.79 0.35 136.485889 7.623466
1274378 15.80 0.35 202.514989 11.462158
1287696 15.80 0.37 233.533881 7.464437
853877 15.80 0.35 199.936162 18.307269
836617 15.81 0.18 133.254234 15.078514
626792 15.81 0.36 232.503091 54.399713
557462 15.81 0.42 194.377655 -0.645329
788278 15.81 0.37 249.078061 17.494153
737164 15.81 0.21 243.143873 33.309057
701906 15.81 0.36 242.164499 39.231699
1273753 15.81 0.29 223.510721 37.042240
1279305 15.82 0.35 232.050408 8.851190
856222 15.82 0.58 247.368566 7.981238
663443 15.82 0.42 142.484176 49.824233
562040 15.83 0.28 164.689113 -3.193326
860865 15.84 0.39 177.858654 18.544560
808057 15.84 0.28 244.446998 59.068618
947060 15.84 0.23 213.757019 -15.292338
583331 15.85 0.40 259.614174 60.410282
731042 15.85 0.29 227.456687 8.608851
1256804 15.85 0.34 263.303188 71.416357
728322 15.85 0.37 238.168336 43.772167
802452 15.85 0.34 214.890355 23.524463
1241627 15.86 0.38 185.813369 3.943628
580973 15.86 0.29 138.938995 58.593621
880490 15.86 0.44 215.683143 -19.890881
794383 15.86 0.21 230.311789 23.885650
789499 15.87 0.24 211.810617 28.794621
679291 15.87 0.32 208.547741 47.824998
792613 15.88 0.38 226.450032 22.815110
1264966 15.88 0.41 214.924399 40.835285
787619 15.88 0.38 220.941921 29.702059
800396 15.89 0.32 234.919309 19.254717
859003 15.89 0.37 188.931087 18.052113
740159 15.90 0.34 249.341715 20.972424
736245 15.90 0.39 236.579935 36.568108
679952 15.90 0.44 199.476907 50.238105
811817 15.90 0.42 138.343272 22.662537
797780 15.90 0.36 191.072539 30.020238
844983 15.90 0.42 213.470677 22.345552
1274140 15.90 0.39 177.867758 11.940935
1260677 15.90 0.42 140.478076 42.392906
1309502 15.91 0.41 202.798613 0.681397
1274997 15.91 0.28 159.923416 11.305057
1261433 15.91 0.41 142.899373 44.072370
1274534 15.91 0.37 220.480947 9.765448
864525 15.91 0.35 158.853336 17.021720
1252708 15.91 0.41 209.858861 60.601983
621709 15.92 0.33 222.131042 4.263376
822607 15.92 0.44 171.392630 25.652969
652113 15.92 0.46 132.917423 40.286299
1249541 15.92 0.31 237.971292 47.939457
724714 15.92 0.16 227.142023 48.810589
1289681 15.92 0.32 255.136788 24.465003
653628 15.92 0.33 132.693142 41.314928
802589 15.93 0.42 223.128012 21.400959
1279725 15.93 0.40 162.639592 12.422191
730354 15.93 0.16 255.304804 19.509687
696632 15.93 0.47 244.942938 35.889954
943538 15.93 0.32 212.970596 -13.289807
1270606 15.93 0.35 189.189877 13.339554
706656 15.95 0.33 160.169844 9.035832
584417 15.95 0.35 212.075506 1.305636
1278895 15.95 0.39 187.997059 12.729856
801343 15.96 0.43 245.466933 12.310998
630919 15.96 0.22 252.772714 40.127371
1267927 15.96 0.24 169.439741 47.355184
827283 15.96 0.16 157.614778 24.266648
687193 15.97 0.48 184.786237 53.854856
781163 15.97 0.37 242.317760 22.985912
857354 15.97 0.35 211.306227 16.728533
879952 15.97 0.36 191.237969 -7.685999
611050 15.97 0.30 165.241811 1.881495
720490 15.97 0.34 172.082280 13.855763
1303557 15.97 0.19 140.914235 36.972587
669064 15.98 0.36 132.109261 36.335414
792823 15.98 0.39 249.846600 13.144813
1270595 15.98 0.30 204.919165 12.293674
1262096 15.98 0.39 147.944156 46.605339
836747 15.98 0.34 173.056190 22.822312
742919 15.99 0.42 224.190590 12.718271
823669 15.99 0.43 177.734143 28.921622
835944 15.99 0.41 226.166938 17.135613
1262575 15.99 0.25 126.341194 26.250558
743848 15.99 0.33 243.793704 28.405917
721902 15.99 0.26 141.877808 11.127289
682479 16.00 0.41 175.629048 9.605528
611494 16.00 0.28 158.605627 2.873950
698257 16.00 0.17 257.358069 28.252855
588323 16.00 0.28 213.200345 3.127745
861486 16.00 0.36 204.294760 17.752040
740228 16.00 0.42 254.383606 17.207785
706660 16.01 0.34 160.812789 9.057546
747449 16.01 0.26 251.229627 21.640121
739996 16.01 0.48 230.300048 32.234768
675000 16.01 0.32 146.741342 43.652238
645760 16.01 0.38 261.494684 68.772567
848006 16.01 0.38 216.446750 22.169078
609465 16.02 0.09 148.376772 4.998687
624967 16.02 0.64 199.317125 4.375356
871263 16.02 0.37 134.330788 11.380156
663112 16.02 0.24 169.357464 57.331566
645505 16.03 0.35 254.279785 74.834833
800341 16.03 0.49 230.197434 21.017593
832447 16.03 0.44 205.429179 23.583484
1302930 16.04 0.36 182.432322 48.210704
768203 16.04 0.39 168.486551 36.416583
682389 16.05 0.23 164.688241 8.976701
611488 16.05 0.34 157.827766 2.967030
784247 16.05 0.35 214.312546 30.915357
1291299 16.05 0.30 248.396362 25.560062
750647 16.05 0.39 237.579636 25.080440
679676 16.06 0.31 195.425248 50.187520
751094 16.06 0.41 252.867229 16.636260
744096 16.06 0.32 221.517168 33.992997
1272571 16.06 0.34 220.074812 39.446566
561099 16.06 0.11 183.682794 0.933190
624744 16.06 0.31 212.313861 3.467016
738869 16.06 0.26 246.825809 23.096244
736232 16.06 0.32 257.300418 19.522232
610832 16.07 0.34 161.095440 1.289466
854988 16.07 0.40 223.554140 16.325889
1253008 16.07 0.43 200.325078 60.373672
1292170 16.07 0.30 245.449682 28.929012
1283979 16.07 0.34 242.431712 5.280236
789675 16.07 0.42 180.834014 32.027010
657817 16.07 0.27 134.688137 44.608568
838216 16.08 0.33 195.523550 22.910626
773991 16.08 0.45 177.854926 38.417147
1241749 16.08 0.33 206.829562 3.514757
1235969 16.09 0.33 239.299255 50.500214
838283 16.09 0.50 213.047148 20.902577
