ID,Probability,Period,Amplitude
6498600,0.42,3106.52108166583,1.424
6630472,0.467,3311.34377500253,1.96
7363380,0.404,3333.04778166402,1.6165
7971781,0.443,3269.65694333206,1.6685
10104153,0.407,3309.63085333356,1.7445
17744724,0.456,3241.34690667044,9.5005
21361302,0.445,3247.98283500346,1.7955
